source,target,relation
db_bench_neutral,Chest,targets
db_bench_neutral,shoulder_pressing_pain_severe,contraindicated_for
db_bench_neutral,machine_chest_press,alternative
db_bench_neutral,pushup_handles,alternative
db_bench_neutral,hypertrophy,has_tag
db_bench_neutral,shoulder_friendly,has_tag
db_bench_neutral,neutral_grip,has_tag
machine_chest_press,Chest,targets
machine_chest_press,shoulder_pressing_pain_severe,contraindicated_for
machine_chest_press,db_bench_neutral,alternative
machine_chest_press,hypertrophy,has_tag
machine_chest_press,shoulder_friendly,has_tag
landmine_press,Shoulders,targets
landmine_press,shoulder_pressing_pain_severe,contraindicated_for
landmine_press,db_shoulder_press_neutral,alternative
landmine_press,cable_press,alternative
landmine_press,hypertrophy,has_tag
landmine_press,shoulder_friendly,has_tag
face_pull,Rear delts,targets
face_pull,band_pull_apart,alternative
face_pull,prehab,has_tag
face_pull,scapular,has_tag
face_pull,shoulder_friendly,has_tag
external_rotation,Rotator cuff,targets
external_rotation,prehab,has_tag
external_rotation,rotator_cuff,has_tag
external_rotation,shoulder_friendly,has_tag
chest_supported_row,Upper back,targets
chest_supported_row,cable_row,alternative
chest_supported_row,hypertrophy,has_tag
chest_supported_row,back_friendly,has_tag
lat_pulldown,Lats,targets
lat_pulldown,assisted_pullup,alternative
lat_pulldown,hypertrophy,has_tag
goblet_squat,Quads,targets
goblet_squat,knee_pain_deep_flexion,contraindicated_for
goblet_squat,leg_press,alternative
goblet_squat,split_squat_short_range,alternative
goblet_squat,hypertrophy,has_tag
goblet_squat,knee_friendly,has_tag
leg_press,Quads,targets
leg_press,knee_pain_deep_flexion,contraindicated_for
leg_press,goblet_squat,alternative
leg_press,hypertrophy,has_tag
leg_press,knee_friendly,has_tag
rdl,Hamstrings,targets
rdl,low_back_pain,contraindicated_for
rdl,hip_thrust,alternative
rdl,leg_curl,alternative
rdl,hypertrophy,has_tag
rdl,strength,has_tag
incline_walk,Cardio,targets
incline_walk,bike,alternative
incline_walk,fat_loss,has_tag
incline_walk,low_impact,has_tag
bike,Cardio,targets
bike,incline_walk,alternative
bike,fat_loss,has_tag
bike,low_impact,has_tag
pushup_handles,Chest,targets
pushup_handles,shoulder_pressing_pain_severe,contraindicated_for
pushup_handles,db_bench_neutral,alternative
pushup_handles,hypertrophy,has_tag
pushup_handles,shoulder_friendly,has_tag
split_squat_short_range,Quads,targets
split_squat_short_range,knee_pain_deep_flexion,contraindicated_for
split_squat_short_range,leg_press,alternative
split_squat_short_range,goblet_squat,alternative
split_squat_short_range,hypertrophy,has_tag
split_squat_short_range,knee_friendly,has_tag
leg_curl,Hamstrings,targets
leg_curl,rdl,alternative
leg_curl,hypertrophy,has_tag
shoulder_pressing_pain,neutral_grip,prefer_tag
shoulder_pressing_pain,shoulder_friendly,prefer_tag
knee_pain_deep_flexion,knee_friendly,prefer_tag
knee_pain_deep_flexion,deep_squat,avoid_pattern
low_back_pain,hinge,avoid_pattern
